material,uses,eta_const,glyph,style,src
abc,1,abcOutline,abc,regular,added
ac_unit,2,snowflake,snowflake,filled,filled
account_circle_outlined,1,userOutline,user_1,regular,regular
account_tree_outlined,1,sitemapOutline,sitemap,regular,regular
add,2,add,add,filled,filled
album_outlined,6,albumOutline,album,regular,regular
analytics_outlined,1,chartVerticalOutline,chart_vertical,regular,regular
animation_outlined,5,magic2Outline,magic_2,regular,regular
arrow_back,1,arrowLeft,arrow_left,filled,filled
arrow_drop_down,5,downSmall,down_small,filled,filled
arrow_right_alt,1,arrowRight,arrow_right,filled,filled
audiotrack_outlined,1,musicOutline,music,regular,regular
auto_fix_high,5,magic3,magic_3,filled,filled
auto_fix_high_outlined,2,magic3Outline,magic_3,regular,regular
auto_fix_normal,1,magic2,magic_2,filled,filled
auto_fix_normal_outlined,2,magic2Outline,magic_2,regular,regular
autorenew,1,refresh,refresh_2,filled,filled
av_timer_outlined,1,stopwatchOutline,stopwatch,regular,regular
bar_chart,1,chartBar,chart_bar,filled,filled
bar_chart_outlined,1,chartBarOutline,chart_bar,regular,regular
bedtime_off_outlined,1,bedtimeOffOutline,bedtime_off_outlined,regular,added
bedtime_outlined,1,moonStarsOutline,moon_stars,regular,regular
bluetooth_audio,2,bluetooth,bluetooth,filled,filled
blur_circular_outlined,1,dotCircleOutline,dot_circle,regular,regular
blur_on_outlined,1,blurOnOutline,blur_on_outlined,regular,added
bolt,1,flash,flash,filled,filled
bolt_outlined,2,flashOutline,flash,regular,regular
brightness_auto_outlined,1,brightnessOutline,brightness,regular,regular
broken_image_outlined,2,pic2Outline,pic_2,regular,regular
call_outlined,1,phoneCallOutline,phone_call,regular,regular
cancel_outlined,1,closeCircleOutline,close_circle,regular,regular
center_focus_strong_outlined,1,aimingOutline,aiming,regular,regular
chat_bubble_outline,2,chatOutline,chat_1,regular,regular
check,8,check,check,filled,filled
check_circle,6,checkCircle,check_circle,filled,filled
check_circle_outline,4,checkCircleOutline,check_circle,regular,regular
checklist,2,listCheck2,list_check_2,filled,filled
checklist_outlined,1,listCheck3Outline,list_check_3,regular,regular
chevron_left,1,leftSmall,left_small,filled,filled
chevron_right,4,rightSmall,right_small,filled,filled
circle_outlined,2,roundOutline,round,regular,regular
cleaning_services_outlined,2,broomOutline,broom,regular,regular
close,12,close,close,filled,filled
cloud,1,cloud,cloud,filled,filled
cloud_off_outlined,5,cloudOutline,cloud,regular,regular
cloud_outlined,3,cloudOutline,cloud,regular,regular
cloud_queue,1,cloud,cloud,filled,filled
color_lens_outlined,2,palette2Outline,palette_2,regular,regular
colorize,1,colorPicker,color_picker,filled,filled
compare_arrows_outlined,1,transferVerticalOutline,transfer_vertical,regular,regular
create_new_folder_outlined,1,newFolderOutline,new_folder,regular,regular
crop_square,2,square,square,filled,filled
dark_mode_outlined,4,moonOutline,moon,regular,regular
data_usage_outlined,1,chartPieOutline,chart_pie,regular,regular
delete,1,delete,delete_2,filled,filled
delete_forever_outlined,3,wastebasketOutline,wastebasket,regular,regular
delete_outline,10,deleteOutline,delete_2,regular,regular
delete_sweep_outlined,4,deleteOutline,delete_2,regular,regular
deselect,1,deselectOutline,deselect,regular,added
desktop_windows_outlined,1,monitorOutline,monitor,regular,regular
devices_outlined,1,deviceOutline,device,regular,regular
dns,1,server,server,filled,filled
dns_outlined,7,serverOutline,server,regular,regular
download,1,download,download,filled,filled
download_outlined,6,downloadOutline,download,regular,regular
downloading,2,download,download,filled,filled
drag_indicator,1,dotsVertical,dots_vertical,filled,filled
drive_file_move_outlined,1,fileImportOutline,file_import,regular,regular
edit_outlined,1,editOutline,edit_2,regular,regular
energy_savings_leaf,2,leaf,leaf,filled,filled
energy_savings_leaf_outlined,3,leafOutline,leaf,regular,regular
engineering_outlined,2,toolOutline,tool,regular,regular
error,1,alert,alert,filled,filled
error_outline,15,alertOutline,alert,regular,regular
exit_to_app_outlined,1,exitOutline,exit,regular,regular
expand_more,1,downSmall,down_small,filled,filled
extension_outlined,1,pluginOutline,plugin,regular,regular
favorite,5,heart,heart,filled,filled
favorite_border,5,heartOutline,heart,regular,regular
favorite_outline,4,heartOutline,heart,regular,regular
fingerprint,1,fingerprint,fingerprint,filled,filled
fingerprint_outlined,1,fingerprintOutline,fingerprint,regular,regular
flaky,1,asterisk,asterisk_2,filled,filled
flip,1,flipHorizontal,flip_horizontal,filled,filled
foggy,1,fog,fog,filled,filled
folder_copy_outlined,3,foldersOutline,folders,regular,regular
folder_open,2,folderOpen,folder_open,filled,filled
folder_open_outlined,3,folderOpenOutline,folder_open,regular,regular
folder_outlined,8,folderOutline,folder,regular,regular
font_download_outlined,2,fontOutline,font,regular,regular
format_size,2,fontSize,font_size,filled,filled
forum_outlined,1,messageOutline,message_2,regular,regular
fullscreen,1,fullscreen,fullscreen,filled,filled
fullscreen_exit,1,fullscreenExit,fullscreen_exit,filled,filled
gpp_bad_outlined,1,shieldOutline,shield,regular,regular
gps_fixed_outlined,1,aimingOutline,aiming,regular,regular
grain,1,drizzle,drizzle,filled,filled
graphic_eq,5,soundLine,sound_line,filled,filled
graphic_eq_outlined,2,soundLineOutline,sound_line,regular,regular
headphones_outlined,2,headphoneOutline,headphone,regular,regular
healing_outlined,1,firstAidKitOutline,first_aid_kit,regular,regular
high_quality_outlined,10,highQualityOutline,high_quality_outlined,regular,added
history,9,history,history,filled,filled
history_outlined,3,historyOutline,history,regular,regular
history_toggle_off,1,history,history,filled,filled
home,1,home,home_1,filled,filled
home_outlined,1,homeOutline,home_1,regular,regular
hourglass_top,2,sandglass,sandglass,filled,filled
image_outlined,4,picOutline,pic,regular,regular
info_outline,5,informationOutline,information,regular,regular
insert_drive_file_outlined,2,fileOutline,file,regular,regular
key_outlined,2,keyOutline,key_1,regular,regular
keyboard_arrow_down,1,downSmall,down_small,filled,filled
keyboard_arrow_up,2,upSmall,up_small,filled,filled
keyboard_return,1,cornerDownLeft,corner_down_left,filled,filled
language_outlined,2,translateOutline,translate,regular,regular
leaderboard_outlined,1,chartVerticalOutline,chart_vertical,regular,regular
library_music,1,music2,music_2,filled,filled
library_music_outlined,5,music2Outline,music_2,regular,regular
light_mode_outlined,1,sunOutline,sun,regular,regular
line_weight,1,lineHeight,line_height,filled,filled
link,2,link,link,filled,filled
link_off,2,unlink,unlink,filled,filled
link_off_outlined,1,unlinkOutline,unlink,regular,regular
local_fire_department_outlined,4,fireOutline,fire,regular,regular
location_city_outlined,1,buildingOutline,building_1,regular,regular
lock_open_outlined,1,unlockOutline,unlock,regular,regular
lock_outline,3,lockOutline,lock,regular,regular
login,1,entrance,entrance,filled,filled
logout,1,exit,exit,filled,filled
lyrics,1,fileMusic,file_music,filled,filled
lyrics_outlined,10,fileMusicOutline,file_music,regular,regular
manage_search,1,search3,search_3,filled,filled
manage_search_outlined,2,search3Outline,search_3,regular,regular
memory_outlined,2,chipOutline,chip,regular,regular
menu_book,1,book,book_2,filled,filled
menu_book_outlined,2,bookOutline,book_2,regular,regular
menu_open,3,menu,menu,filled,filled
menu_rounded,2,menu,menu,filled,filled
mic_external_on,1,mic,mic,filled,filled
mic_external_on_outlined,3,micOutline,mic,regular,regular
